,original_text,clean_text,sampa,pos,ipa
103,Assab,Assab,assab,PROPN,assab
104,Associated,Associated,assosiated,PROPN,assosiated
105,Associazione,Associazione,assosiasjone,PROPN,assosiasjone
106,Asturias,Asturias,astu4jas,PROPN,astuɾjas
107,Asumiendo,Asumiendo,asumjendo,VERB,asumjendo
108,Asumió,Asumió,asumjo,VERB,asumjo
109,Asunto,Asunto,asunto,NOUN,asunto
110,Atacó,Atacó,atako,VERB,atako
111,Ataturk,Ataturk,atatu4k,NOUN,atatuɾk
112,Atengámonos,Atengámonos,atengamonos,VERB,atenɡamonos
113,Atila,Atila,atila,PROPN,atila
114,Atlántico,Atlántico,atKantiko,PROPN,at͡ɬantiko
115,Atreverse,Atreverse,at4ebe4se,VERB,atɾebeɾse
116,Atribuir,Atribuir,at4ibwi4,VERB,atɾibwiɾ
117,Attwool,Attwool,attwool,PROPN,attwool
118,Atwooll,Atwooll,atwooj\,PROPN,atwooʝ
119,Aubert,Aubert,aube4t,PROPN,aubeɾt
120,Aubry,Aubry,aub4i,PROPN,aubɾi
121,Audiovisual,Audiovisual,audjobiswal,PROPN,audjobiswal
122,Audit,Audit,audit,PROPN,audit
123,Augusto,Augusto,augwsto,PROPN,auɡwsto
124,Aumenta,Aumenta,aumenta,VERB,aumenta
125,Aumentan,Aumentan,aumentan,VERB,aumentan
126,Aumentaremos,Aumentaremos,aumenta4emos,VERB,aumentaɾemos
127,Aunque,Aunque,aunke,SCONJ,aunke
128,Austral,Austral,aust4al,PROPN,austɾal
129,Australia,Australia,aust4alja,PROPN,austɾalja
130,Austria,Austria,aust4ja,PROPN,austɾja
131,Austro-Húngaro,AustroHúngaro,aust4ownga4o,PROPN,austɾownɡaɾo
132,Austríaco,Austríaco,aust4jako,PROPN,austɾjako
133,Authority,Authority,auto4iti,PROPN,autoɾiti
134,Autónoma,Autónoma,autonoma,PROPN,autonoma
135,Auvernia,Auvernia,aube4nja,PROPN,aubeɾnja
136,Avanzaremos,Avanzaremos,abansa4emos,VERB,abansaɾemos
137,Aveiro,Aveiro,abei4o,PROPN,abeiɾo
138,Aviso,Aviso,abiso,NOUN,abiso
139,Avraham,Avraham,ab4aam,PROPN,abɾaam
140,Ayudan,Ayudan,aiudan,VERB,aiudan
141,Ayúdenlos,Ayúdenlos,aiudenlos,VERB,aiudenlos
142,Ayúdennos,Ayúdennos,aiudennos,VERB,aiudennos
143,Ayúdenos,Ayúdenos,aiudenos,VERB,aiudenos
144,Azerbaiyán,Azerbaiyán,ase4baiian,PROPN,aseɾbaiian
145,Añade,Añade,aJade,VERB,aɲade
146,Añadir,Añadir,aJadi4,VERB,aɲadiɾ
147,Añadirá,Añadirá,aJadi4a,VERB,aɲadiɾa
148,Añadiría,Añadiría,aJadi4ja,VERB,aɲadiɾja
149,Añadió,Añadió,aJadjo,VERB,aɲadjo
150,Babies,Babies,babjes,PROPN,babjes
151,Babitzky,Babitzky,babitski,PROPN,babit͡ski
152,Bacon,Bacon,bakon,PROPN,bakon
153,Baden-Württemberg,BadenWürttemberg,badenwu4ttembe4g,PROPN,badenwüɾttembeɾɡ
154,BadenWürttemberg,BadenWürttemberg,badenwu4ttembe4g,PROPN,badenwüɾttembeɾɡ
155,Bagdad,Bagdad,bagdad,PROPN,baɡdad
156,Bahamas,Bahamas,baamas,PROPN,baamas
157,Bajando,Bajando,baxando,VERB,baxando
158,Bajos,Bajos,baxos,NOUN,baxos
159,Balanza,Balanza,balansa,NOUN,balansa
160,Balcanes,Balcanes,balkanes,PROPN,balkanes
161,Balfe,Balfe,balfe,PROPN,balfe
162,Banco,Banco,banko,PROPN,banko
163,Bangladesh,Bangladesh,bangladeS,PROPN,banɡladeʃ
164,Banken,Banken,banken,PROPN,banken
165,Bankgeheimnis,Bankgeheimnis,bankxeeimnis,PROPN,bankxeeimnis
166,Barajas,Barajas,ba4axas,PROPN,baɾaxas
167,Barnabei,Barnabei,ba4nabei,PROPN,baɾnabei
168,Barnhill,Barnhill,ba4nj\j\,PROPN,baɾnʝʝ
169,Barnier,Barnier,ba4nje4,PROPN,baɾnjeɾ
170,Bartho,Bartho,ba4to,PROPN,baɾto
171,Barzanti,Barzanti,ba4santi,PROPN,baɾsanti
172,Barón,Barón,ba4on,PROPN,baɾon
173,Basada,Basada,basada,ADJ,basada
174,Basamos,Basamos,basamos,VERB,basamos
175,Based,Based,based,PROPN,based
176,Basilea-Mulhouse,BasileaMulhouse,basileamulouse,PROPN,basileamulouse
177,BasileaMulhouse,BasileaMulhouse,basileamulouse,PROPN,basileamulouse
178,Basse-Normandie,BasseNormandie,basseno4mandje,PROPN,bassenoɾmandje
179,Bassora,Bassora,basso4a,PROPN,bassoɾa
180,Bastante,Bastante,bastante,ADV,bastante
181,Bastaría,Bastaría,basta4ja,VERB,bastaɾja
182,Basándome,Basándome,basandome,VERB,basandome
183,Basándose,Basándose,basandose,VERB,basandose
184,Baviera,Baviera,babje4a,PROPN,babjeɾa
185,Bazin,Bazin,basin,PROPN,basin
186,Beaconsfield,Beaconsfield,beakonsfjeld,PROPN,beakonsfjeld
187,Bebemos,Bebemos,bebemos,VERB,bebemos
188,Beber,Beber,bebe4,VERB,bebeɾ
189,Bedoui,Bedoui,bedowi,PROPN,bedowi
190,Beets,Beets,beets,PROPN,beets
191,Beguin,Beguin,begin,PROPN,beɡin
192,Bekaa,Bekaa,bekaa,PROPN,bekaa
193,Belder,Belder,belde4,PROPN,beldeɾ
194,Belliard,Belliard,bej\ja4d,PROPN,beʝjaɾd
195,Bendit,Bendit,bendit,PROPN,bendit
196,Benko,Benko,benko,PROPN,benko
197,Berend,Berend,be4end,PROPN,beɾend
198,Berlin-Tegel,BerlinTegel,be4lintexel,PROPN,beɾlintexel
199,Berlín,Berlín,be4lin,PROPN,beɾlin
200,Berlín,Berlín,be4lin,PROPN,beɾlin
201,Bertelsmann,Bertelsmann,be4telsmann,PROPN,beɾtelsmann
202,Bertinotti,Bertinotti,be4tinotti,PROPN,beɾtinotti
203,Bertrand,Bertrand,be4t4and,PROPN,beɾtɾand
204,Berès,Berès,be4es,PROPN,beɾès
205,Besque,Besque,beske,PROPN,beske
206,Bethell,Bethell,betej\,PROPN,beteʝ
207,Bettino,Bettino,bettino,PROPN,bettino
208,Bevor,Bevor,bebo4,PROPN,beboɾ
209,Bhutan,Bhutan,bwtan,PROPN,bwtan
210,Bielorrusia,Bielorrusia,bjelorusja,PROPN,bjelorusja
211,Bienvenida,Bienvenida,bjenbenida,NOUN,bjenbenida
212,Bienvenidos,Bienvenidos,bjenbenidos,NOUN,bjenbenidos
213,Bigliardo,Bigliardo,biglja4do,PROPN,biɡljaɾdo
214,Bilbao,Bilbao,bilbao,PROPN,bilbao
215,Bingöl,Bingöl,bingol,PROPN,binɡöl
216,Biomedicina,Biomedicina,bjomedisina,PROPN,bjomedisina
217,Birdal,Birdal,bi4dal,PROPN,biɾdal
218,Bjerregaard,Bjerregaard,bxeregaa4d,PROPN,bxereɡaaɾd
219,Blackpool,Blackpool,blakkpool,PROPN,blakkpool
220,Blanc,Blanc,blank,PROPN,blank
221,Blanco,Blanco,blanko,PROPN,blanko
222,Blancos,Blancos,blankos,NOUN,blankos
223,Bloque,Bloque,bloke,NOUN,bloke
224,Bloqueando,Bloqueando,blokeando,VERB,blokeando
225,Blottnitz,Blottnitz,blottnits,PROPN,blottnit͡s
226,Boeing,Boeing,boeing,PROPN,boeinɡ
227,Boetticher,Boetticher,boettitSe4,PROPN,boettit͡ʃeɾ
228,Bogotá,Bogotá,bogota,PROPN,boɡota
229,Bolonia,Bolonia,bolonja,PROPN,bolonja
230,Bombardeos,Bombardeos,bomba4deos,NOUN,bombaɾdeos
231,Bombas,Bombas,bombas,NOUN,bombas
232,Borneo,Borneo,bo4neo,PROPN,boɾneo
233,Borrar,Borrar,bora4,VERB,boraɾ
234,Borrell,Borrell,borej\,PROPN,boreʝ
235,Borrás,Borrás,boras,PROPN,boras
236,Bosnia,Bosnia,bosnja,PROPN,bosnja
237,Bosnia-Herzegovina,BosniaHerzegovina,bosnjae4segobina,PROPN,bosnjaeɾseɡobina
238,Boudjenah,Boudjenah,boudxena,PROPN,boudxena
239,BoumedieneThiery,BoumedieneThiery,boumedjenetj\e4i,PROPN,boumedjenetʝeɾi
240,BoumedienneThiery,BoumedienneThiery,boumedjennetj\e4i,PROPN,boumedjennetʝeɾi
241,Boumédiene-Thiery,BoumédieneThiery,boumedjenetj\e4i,PROPN,boumedjenetʝeɾi
242,Boumédienne-Thiery,BoumédienneThiery,boumedjennetj\e4i,PROPN,boumedjennetʝeɾi
243,BoumédienneThiery,BoumédienneThiery,boumedjennetj\e4i,PROPN,boumedjennetʝeɾi
244,Bourlanges­,Bourlanges,bou4lanxes,PROPN,bouɾlanxes
245,Bowman,Bowman,bowman,PROPN,bowman
246,Braer,Braer,b4ae4,PROPN,bɾaeɾ
247,Brandemburgo,Brandemburgo,b4andembu4go,PROPN,bɾandembuɾɡo
248,Bravery,Bravery,b4abe4i,PROPN,bɾabeɾi
249,Brazzaville,Brazzaville,b4assabij\e,PROPN,bɾassabiʝe
250,Brejnev,Brejnev,b4exneb,PROPN,bɾexneb
251,Brempt,Brempt,b4empt,PROPN,bɾempt
252,Brenner,Brenner,b4enne4,PROPN,bɾenneɾ
253,Brennero,Brennero,b4enne4o,PROPN,bɾenneɾo
254,Bretonne,Bretonne,b4etonne,PROPN,bɾetonne
255,Bretton,Bretton,b4etton,PROPN,bɾetton
256,Brevísimamente,Brevísimamente,b4ebisimamente,ADV,bɾebisimamente
257,Brian,Brian,b4jan,PROPN,bɾjan
258,Brick,Brick,b4ikk,PROPN,bɾikk
259,Brigadas,Brigadas,b4igadas,NOUN,bɾiɡadas
260,Brinda,Brinda,b4inda,VERB,bɾinda
261,Brindan,Brindan,b4indan,VERB,bɾindan
262,Brindisi,Brindisi,b4indisi,PROPN,bɾindisi
263,British,British,b4itiS,PROPN,bɾitiʃ
264,Britt,Britt,b4itt,PROPN,bɾitt
265,Brittan,Brittan,b4ittan,PROPN,bɾittan
266,Británica,Británica,b4itanika,PROPN,bɾitanika
267,Británicas,Británicas,b4itanikas,ADJ,bɾitanikas
268,Británicos,Británicos,b4itanikos,NOUN,bɾitanikos
269,Brooke,Brooke,b4ooke,PROPN,bɾooke
270,Brouwer,Brouwer,b4ouwe4,PROPN,bɾouweɾ
271,Brunei,Brunei,b4unei,PROPN,bɾunei
272,Bruselas,Bruselas,b4uselas,PROPN,bɾuselas
273,Bruselas-Amsterdam,BruselasAmsterdam,b4uselasamste4dam,PROPN,bɾuselasamsteɾdam
274,BruselasAmsterdam,BruselasAmsterdam,b4uselasamste4dam,PROPN,bɾuselasamsteɾdam
275,BruselasI,BruselasI,b4uselasi,PROPN,bɾuselasi
276,BruselasII,BruselasII,b4uselasii,PROPN,bɾuselasii
277,Bruto,Bruto,b4uto,PROPN,bɾuto
278,Brüssels,Brüssels,b4ussels,PROPN,bɾüssels
279,Budapest,Budapest,budapest,PROPN,budapest
280,Bueno,Bueno,bweno,ADV,bweno
281,Buesa,Buesa,bwesa,PROPN,bwesa
282,Buffet,Buffet,buffet,NOUN,buffet
283,Buitenweg,Buitenweg,bwitenweg,PROPN,bwitenweɡ
284,Bulgaria,Bulgaria,bulga4ja,PROPN,bulɡaɾja
285,Bulletin,Bulletin,buj\etin,PROPN,buʝetin
286,Bundesbank,Bundesbank,bundesbank,PROPN,bundesbank
287,Buscan,Buscan,buskan,VERB,buskan
288,BushillMatthews,BushillMatthews,buSij\mattews,PROPN,buʃiʝmattews
289,Busquin,Busquin,buskin,PROPN,buskin
290,Butyrsky,Butyrsky,buti4ski,PROPN,butiɾski
291,Byrne,Byrne,bi4ne,PROPN,biɾne
292,Bédié,Bédié,bedje,PROPN,bedje
293,Bösch,Bösch,bostS,PROPN,böst͡ʃ
294,CALEIDOSCOPIO,CALEIDOSCOPIO,kaleidoskopjo,PROPN,kaleidoskopjo
295,CARDS,CARDS,ka4ds,PROPN,kaɾds
296,CCE-DG,CCEDG,ksedg,PROPN,ksedɡ
297,CDS-Partido,CDSPartido,kdspa4tido,NOUN,kdspaɾtido
298,CE-Israel,CEIsrael,seis4ael,PROPN,seisɾael
299,CECamboya,CECamboya,sekamboia,PROPN,sekamboia
300,CEIsrael,CEIsrael,seis4ael,PROPN,seisɾael
301,CELEX,CELEX,seleks,PROPN,seleks
302,CELMA,CELMA,selma,PROPN,selma
303,CITES,CITES,sites,PROPN,sites
304,COPACE,COPACE,kopase,PROPN,kopase
305,COREPER,COREPER,ko4epe4,PROPN,koɾepeɾ
306,CORUS,CORUS,ko4us,PROPN,koɾus
307,CSTEE,CSTEE,kstee,PROPN,kstee
308,Caballeros,Caballeros,kabaj\e4os,NOUN,kabaʝeɾos
309,Cabanis,Cabanis,kabanis,PROPN,kabanis
310,Cabeza,Cabeza,kabesa,NOUN,kabesa
311,Cachemira,Cachemira,katSemi4a,PROPN,kat͡ʃemiɾa
312,Cadogan,Cadogan,kadogan,PROPN,kadoɡan
313,Cairo,Cairo,kai4o,PROPN,kaiɾo
314,Calcula,Calcula,kalkula,VERB,kalkula
315,Calculamos,Calculamos,kalkulamos,VERB,kalkulamos
316,Caleidoscopio,Caleidoscopio,kaleidoskopjo,NOUN,kaleidoskopjo
317,Califico,Califico,kalifiko,NOUN,kalifiko
318,California,California,kalifo4nja,PROPN,kalifoɾnja
319,Cambian,Cambian,kambjan,VERB,kambjan
320,Cambiando,Cambiando,kambjando,VERB,kambjando
321,Cambiar,Cambiar,kambja4,VERB,kambjaɾ
322,Camboya,Camboya,kamboia,PROPN,kamboia
323,Cambridge,Cambridge,kamb4idxe,PROPN,kambɾidxe
324,Cameron,Cameron,kame4on,PROPN,kameɾon
325,Camerún,Camerún,kame4un,PROPN,kameɾun
326,Camogli,Camogli,kamogli,PROPN,kamoɡli
327,Campaign,Campaign,kampaign,PROPN,kampaiɡn
328,Campbell,Campbell,kampbej\,PROPN,kampbeʝ
329,Campeonato,Campeonato,kampeonato,PROPN,kampeonato
330,Campos,Campos,kampos,PROPN,kampos
331,Camus,Camus,kamus,PROPN,kamus
332,Canarias,Canarias,kana4jas,PROPN,kanaɾjas
333,Candidatos,Candidatos,kandidatos,NOUN,kandidatos
334,Cantidades,Cantidades,kantidades,NOUN,kantidades
335,Canyon,Canyon,kanion,PROPN,kanion
336,Capability,Capability,kapabiliti,PROPN,kapabiliti
337,Capatto,Capatto,kapatto,PROPN,kapatto
338,Capri,Capri,kap4i,PROPN,kapɾi
339,Capturas,Capturas,kaptu4as,NOUN,kaptuɾas
340,Capítulo,Capítulo,kapitulo,NOUN,kapitulo
341,Cardiff,Cardiff,ka4diff,PROPN,kaɾdiff
342,Cards,Cards,ka4ds,PROPN,kaɾds
343,Carece,Carece,ka4ese,VERB,kaɾese
344,Carecen,Carecen,ka4esen,VERB,kaɾesen
345,Carecían,Carecían,ka4esian,VERB,kaɾesian
346,Cargill,Cargill,ka4xij\,PROPN,kaɾxiʝ
347,Carlos,Carlos,ka4los,PROPN,kaɾlos
348,Carmen,Carmen,ka4men,PROPN,kaɾmen
349,Carolina,Carolina,ka4olina,PROPN,kaɾolina
350,Caroline,Caroline,ka4oline,PROPN,kaɾoline
351,Carraro,Carraro,kara4o,NOUN,karaɾo
352,Carrefour,Carrefour,karefou4,PROPN,karefouɾ
353,Carrilho,Carrilho,karilo,PROPN,karilo
354,Carrillo,Carrillo,karij\o,PROPN,kariʝo
355,Cartas,Cartas,ka4tas,NOUN,kaɾtas
356,Carter,Carter,ka4te4,PROPN,kaɾteɾ
357,Casaca,Casaca,kasaka,PROPN,kasaka
358,Cashman,Cashman,kaSman,PROPN,kaʃman
359,Caspio,Caspio,kaspjo,PROPN,kaspjo
360,Castigar,Castigar,kastiga4,VERB,kastiɡaɾ
361,CastillaLa,CastillaLa,kastij\ala,PROPN,kastiʝala
362,Catorce,Catorce,kato4se,NUM,katoɾse
363,Católica,Católica,katolika,PROPN,katolika
364,Caudron,Caudron,kaud4on,PROPN,kaudɾon
365,Causa,Causa,kausa,PROPN,kausa
366,Cavalese,Cavalese,kabalese,PROPN,kabalese
367,Ceaucescu,Ceaucescu,seausesku,PROPN,seausesku
368,Cecilia,Cecilia,sesilja,PROPN,sesilja
369,Ceder,Ceder,sede4,VERB,sedeɾ
370,Cederschiöld,Cederschiöld,sede4stSjold,PROPN,sedeɾst͡ʃjöld
371,Cederschiöld­,Cederschiöld,sede4stSjold,PROPN,sedeɾst͡ʃjöld
372,Celebramos,Celebramos,seleb4amos,VERB,selebɾamos
373,Celebraremos,Celebraremos,seleb4a4emos,VERB,selebɾaɾemos
374,Celebrará,Celebrará,seleb4a4a,VERB,selebɾaɾa
375,Celex,Celex,seleks,PROPN,seleks
376,Cenelec,Cenelec,senelek,PROPN,senelek
377,Censo,Censo,senso,NOUN,senso
378,Centenares,Centenares,sentena4es,NOUN,sentenaɾes
379,Centrales,Centrales,sent4ales,ADJ,sentɾales
380,Centraré,Centraré,sent4a4e,VERB,sentɾaɾe
381,Centroafricana,Centroafricana,sent4oaf4ikana,PROPN,sentɾoafɾikana
382,Centroamérica,Centroamérica,sent4oame4ika,PROPN,sentɾoameɾika
383,Centroeuropa,Centroeuropa,sent4oeu4opa,PROPN,sentɾoeuɾopa
384,Cercano,Cercano,se4kano,ADJ,seɾkano
385,Cercas,Cercas,se4kas,PROPN,seɾkas
386,Cerdanyola,Cerdanyola,se4daniola,PROPN,seɾdaniola
387,Certificado,Certificado,se4tifikado,NOUN,seɾtifikado
388,ChampagneArdennes,ChampagneArdennes,tSampagnea4dennes,PROPN,t͡ʃampaɡneaɾdennes
389,Chantal,Chantal,tSantal,PROPN,t͡ʃantal
390,Charlotte,Charlotte,tSa4lotte,PROPN,t͡ʃaɾlotte
391,CharmelCheikh,CharmelCheikh,tSa4meltSeik,PROPN,t͡ʃaɾmelt͡ʃeik
392,Charolai,Charolai,tSa4olai,PROPN,t͡ʃaɾolai
393,Charta,Charta,tSa4ta,PROPN,t͡ʃaɾta
394,Checa­,Checa,tSeka,PROPN,t͡ʃeka
395,Chequia,Chequia,tSekja,PROPN,t͡ʃekja
396,Cherie,Cherie,tSe4je,PROPN,t͡ʃeɾje
397,Chiapas,Chiapas,tSjapas,PROPN,t͡ʃjapas
398,Chichester,Chichester,tSitSeste4,PROPN,t͡ʃit͡ʃesteɾ
399,Chipre,Chipre,tSip4e,PROPN,t͡ʃipɾe
400,Chiquita,Chiquita,tSikita,PROPN,t͡ʃikita
401,Chirac,Chirac,tSi4ak,PROPN,t͡ʃiɾak
402,Chischester,Chischester,tSistSeste4,PROPN,t͡ʃist͡ʃesteɾ
403,Chisinau,Chisinau,tSisinau,PROPN,t͡ʃisinau
404,Christopher,Christopher,tS4istope4,PROPN,t͡ʃɾistopeɾ
405,Christos,Christos,tS4istos,PROPN,t͡ʃɾistos
406,Cielo,Cielo,sielo,PROPN,sielo
407,Ciencia,Ciencia,siensia,PROPN,siensia
408,Ciertos,Ciertos,sie4tos,NOUN,sieɾtos
409,Cisjordania,Cisjordania,sisxo4danja,PROPN,sisxoɾdanja
410,Citar,Citar,sita4,VERB,sitaɾ
411,Citaré,Citaré,sita4e,VERB,sitaɾe
412,Citemos,Citemos,sitemos,VERB,sitemos
413,Ciudadano,Ciudadano,siudadano,NOUN,siudadano
414,Ciudadanos,Ciudadanos,siudadanos,NOUN,siudadanos
415,Clagget,Clagget,klagxet,PROPN,klaɡxet
416,Claramente,Claramente,kla4amente,ADV,klaɾamente
417,Clare,Clare,kla4e,PROPN,klaɾe
418,Claude,Claude,klaude,PROPN,klaude
419,Claus,Claus,klaus,PROPN,klaus
420,Clercq,Clercq,kle4kk,PROPN,kleɾkk
421,Clinton,Clinton,klinton,PROPN,klinton
422,Cochin,Cochin,kotSin,PROPN,kot͡ʃin
423,Cocilovo,Cocilovo,kosilobo,PROPN,kosilobo
424,Cockfield,Cockfield,kokkfjeld,PROPN,kokkfjeld
425,Cocobu,Cocobu,kokobu,PROPN,kokobu
426,Cocoon,Cocoon,kokoon,PROPN,kokoon
427,Coelho,Coelho,koelo,PROPN,koelo
428,Coherencia,Coherencia,koe4ensia,NOUN,koeɾensia
429,Cohesión,Cohesión,koesjon,PROPN,koesjon
430,Coillte,Coillte,koij\te,PROPN,koiʝte
431,Coincidimos,Coincidimos,koinsidimos,VERB,koinsidimos
432,Colaboramos,Colaboramos,kolabo4amos,VERB,kolaboɾamos
433,Colegio,Colegio,kolexio,PROPN,kolexio
434,Coleraine,Coleraine,kole4aine,PROPN,koleɾaine
435,Collado,Collado,koj\ado,PROPN,koʝado
436,Collins,Collins,koj\ins,PROPN,koʝins
437,Colombia,Colombia,kolombja,PROPN,kolombja
438,Colonia,Colonia,kolonja,PROPN,kolonja
439,Colonia-Bonn,ColoniaBonn,kolonjabonn,PROPN,kolonjabonn
440,ColoniaBonn,ColoniaBonn,kolonjabonn,PROPN,kolonjabonn
441,Combatir,Combatir,kombati4,VERB,kombatiɾ
442,Comed,Comed,komed,PROPN,komed
443,Comenzamos,Comenzamos,komensamos,VERB,komensamos
444,Comenzando,Comenzando,komensando,VERB,komensando
445,Comenzaré,Comenzaré,komensa4e,VERB,komensaɾe
446,Comience,Comience,komjense,NOUN,komjense
447,Comienza,Comienza,komjensa,VERB,komjensa
448,Comienzo,Comienzo,komjenso,NOUN,komjenso
449,Comisarios,Comisarios,komisa4jos,NOUN,komisaɾjos
450,Comisionada,Comisionada,komisjonada,PROPN,komisjonada
